title,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,net_income
Summer of Blood,2014-10-17,86.0,0,0,1.543681,4.9,11.0,0
Appointment with Crime,1946-11-04,92.0,0,0,0.300469,6.3,3.0,0
Hungry Hill,1947-01-07,92.0,0,0,1.199812,4.0,2.0,0
Quartet,1948-10-26,120.0,0,0,0.482475,6.8,3.0,0
Scott of the Antarctic,1948-11-29,111.0,0,0,0.485636,7.7,6.0,0
Christopher Columbus,1949-10-12,99.0,0,0,0.741268,6.0,2.0,0
The Magnet,1950-10-01,79.0,0,0,0.216391,5.0,5.0,0
Blackmailed,1951-01-30,85.0,0,0,0.567483,0.0,0.0,0
Pool of London,1951-02-20,85.0,0,0,1.327401,7.0,3.0,0
Anne of the Indies,1951-10-18,81.0,0,0,0.589217,7.1,6.0,0
The Lady Says No,1952-01-06,80.0,0,0,0.364137,6.0,2.0,0
The Story of Robin Hood and His Merrie Men,1952-05-26,0.0,0,0,0.786528,5.0,3.0,0
The Sword and the Rose,1953-07-23,92.0,0,0,0.444989,7.0,1.0,0
Above Us the Waves,1955-03-29,99.0,0,0,1.136868,5.4,12.0,0
Doctor at Sea,1955-01-01,93.0,0,0,0.515608,5.8,5.0,0
An Alligator Named Daisy,1955-12-13,85.0,0,0,0.161402,0.0,0.0,0
The Iron Petticoat,1957-01-07,87.0,0,0,0.619332,3.0,1.0,0
The Living Idol,1957-05-02,100.0,0,0,0.224308,0.0,0.0,0
Orders to Kill,1958-07-25,112.0,0,0,0.91468,5.0,1.0,0
Upstairs and Downstairs,1959-11-02,101.0,0,0,0.982495,6.0,3.0,0
Crooks Anonymous,1962-03-31,88.0,0,0,0.530474,7.4,7.0,0
Two Weeks in September,1967-06-07,96.0,0,0,0.125803,7.0,1.0,0
Zeta One,1969-12-01,84.0,0,0,1.171242,4.3,9.0,0
The Voices,2014-01-19,101.0,0,0,9.104429,6.2,578.0,0
"Welcome, or No Trespassing",1964-10-07,74.0,0,0,1.609025,7.5,17.0,0
Adventures of a Dentist,1965-01-01,82.0,0,0,0.142357,7.0,4.0,0
"Sport, Sport, Sport",1970-06-06,85.0,0,0,0.706966,5.7,3.0,0
Farewell,1981-10-07,121.0,0,0,0.317334,6.0,4.0,0
Eagles Wing,1979-11-23,111.0,0,0,0.526379,5.0,5.0,0
Levitated Mass,2013-06-20,88.0,0,0,0.360916,8.3,2.0,0
Nativity 2: Danger in the Manger!,2012-11-21,105.0,0,0,0.619534,5.2,16.0,0
The Puzzle,2010-06-23,87.0,0,0,0.167899,7.0,2.0,0
Donald Glover: Weirdo,2011-11-19,60.0,0,0,0.582617,6.9,15.0,0
Come Back to Me,2014-07-25,90.0,0,0,3.821899,5.6,52.0,0
Trailer Park Boys: Live at the North Pole,2014-11-15,88.0,0,0,1.43617,7.6,8.0,0
The Righteous Thief,2009-11-26,117.0,0,0,0.821182,5.4,5.0,0
State of Emergency,2011-01-01,90.0,1300000,0,1.334551,4.4,28.0,-2600000
Almost Married,2014-03-28,97.0,0,0,0.879915,5.3,8.0,0
The Swinger,1966-11-13,81.0,0,0,0.078509,6.0,1.0,0
Christmas in Conway,2013-12-01,90.0,0,0,6.607246,5.4,10.0,0
Grace,2014-10-28,87.0,0,0,4.550875,4.8,62.0,0
Winter Nomads,2012-02-10,90.0,0,0,0.199527,8.0,3.0,0
Courier,1986-06-06,88.0,0,0,0.10673,8.1,15.0,0
Batman vs Dracula,2005-10-18,83.0,0,0,8.393194,6.5,58.0,0
Baffled!,1973-01-29,90.0,0,0,0.869219,3.0,1.0,0
Dying Room Only,1973-09-18,74.0,0,0,0.034545,6.8,5.0,0
Go for It,1983-01-01,107.0,0,0,5.176725,6.8,90.0,0
Great Expectations,1934-10-22,100.0,0,0,0.203251,3.0,2.0,0
Hand in Hand,1961-02-06,73.0,0,0,0.007069,0.0,0.0,0
Tenchi: The Samurai Astronomer,2012-09-15,141.0,0,0,0.093914,0.0,0.0,0
The Green Prince,2014-01-16,99.0,0,0,1.103495,7.4,19.0,0
Castles in the Sky,2014-06-23,90.0,0,0,1.682416,5.8,7.0,0
Cowspiracy: The Sustainability Secret,2014-07-01,85.0,117,0,6.213797,7.9,119.0,-234
McConkey,2013-09-30,100.0,0,0,0.132019,4.5,2.0,0
Manny,2014-12-31,106.0,0,0,2.711057,6.4,40.0,0
Chocolate Strawberry Vanilla,2013-11-24,85.0,0,0,1.209092,6.1,9.0,0
"Mayday at 40,000 Feet!",1976-11-12,100.0,0,0,0.946415,8.0,2.0,0
Bus Rileys Back In Town,1965-03-24,93.0,0,0,0.566716,0.0,0.0,0
Mahoneys Last Stand,1972-01-01,109.0,0,0,0.263934,5.3,2.0,0
Fortune and Mens Eyes,1971-06-15,102.0,0,0,0.1223,3.7,3.0,0
The Party Animal,1984-07-18,78.0,0,0,0.634612,5.7,5.0,0
Bleak Night,2010-02-03,117.0,0,0,0.806425,7.9,14.0,0
To Encourage the Others,1972-03-27,105.0,0,0,0.311614,0.0,0.0,0
Wanderers,2014-10-11,4.0,0,0,1.621875,7.4,24.0,0
Clouds of Sils Maria,2014-08-20,124.0,6600000,1851517,8.151346,6.7,267.0,-11348483
Dying of the Light,2014-12-04,94.0,15000000,0,14.059259,4.5,118.0,-30000000
Survival Quest,1988-09-09,96.0,0,0,2.826282,5.8,4.0,0
All Cheerleaders Die,2013-10-31,89.0,0,0,6.007987,5.1,124.0,0
Cherry Tree Lane,2010-08-28,77.0,0,0,1.318859,5.1,18.0,0
WolfCop,2014-06-06,79.0,0,0,3.903768,5.2,60.0,0
Its a Wonderful Afterlife,2010-05-07,99.0,0,0,1.513042,4.3,9.0,0
The Borderlands,2013-08-24,89.0,0,0,4.73755,5.1,82.0,0
Slasher House,2012-04-29,85.0,1550000,0,0.258937,5.6,5.0,-3100000
The Kick,2011-11-03,94.0,3500000,0,1.782494,5.1,10.0,-7000000
Norwegian Ninja,2010-08-13,77.0,0,0,0.409606,3.8,10.0,0
Borrowed Time,2013-09-13,88.0,0,0,1.12272,5.4,5.0,0
Hellbenders,2013-10-18,87.0,0,0,5.28105,5.5,23.0,0
Saving General Yang,2013-04-04,102.0,20000000,0,5.333347,6.1,44.0,-40000000
Legacy of Rage,1986-12-20,87.0,0,0,0.723855,7.1,4.0,0
Shadowzone,1990-02-22,88.0,0,0,1.179286,4.4,7.0,0
In Your Hands,2010-11-04,85.0,0,0,0.460063,6.1,8.0,0
Cleopatra Jones and the Casino of Gold,1975-07-11,94.0,0,0,0.487831,6.7,3.0,0
Eat,1963-12-31,45.0,0,0,0.151119,5.7,3.0,0
"Jonathan Rosenbaum, Present",2013-02-27,13.0,0,0,0.018703,0.0,0.0,0
Omega Doom,1996-01-01,84.0,0,0,4.759885,4.3,20.0,0
Blow Job,1964-03-16,35.0,0,0,0.393037,3.8,12.0,0
A Justified Life: Sam Peckinpah and the High Country,2006-01-10,23.0,0,0,0.00353,0.0,0.0,0
The Diary of an Unknown Soldier,1959-01-02,17.0,0,0,0.124487,6.7,3.0,0
Float,2007-01-01,34.0,0,0,0.003534,0.0,0.0,0
Home Alone: The Holiday Heist,2012-11-25,87.0,0,0,4.792279,5.3,54.0,0
The Pokrovsky Gates,1982-01-01,140.0,0,0,0.651047,6.5,11.0,0
Game of Werewolves,2011-10-07,104.0,0,0,2.697544,6.4,26.0,0
By the Gun,2014-09-28,105.0,0,0,3.660641,4.6,21.0,0
The Protector 2,2013-10-23,104.0,0,3302463,13.517632,5.5,57.0,3302463
Blood,2012-10-09,92.0,0,0,2.933201,6.0,49.0,0
Exit Humanity,2011-10-16,114.0,300000,0,1.77348,5.4,32.0,-600000
Omen IV: The Awakening,1991-05-19,97.0,0,0,2.729521,4.6,37.0,0
Ninjas vs. Zombies,2008-10-31,86.0,0,0,0.3808,3.6,5.0,0
Hard to Be a God,2013-02-27,170.0,7000000,1310673,5.921772,6.7,41.0,-12689327
In Order Not to Be Here,2003-01-01,30.0,0,0,0.038024,8.0,1.0,0
Mortuary,2005-08-08,94.0,0,0,8.261448,4.0,25.0,0
